Label;Vandalismus;Uberschwemmung;Offerte vorhanden;Feuer;Regenwasser;Gebaudetechnik;Eigenleistung;Sturmwind;Rechnung vorhanden?;Grundwasser;Hagel;Leitungsbruch;Glasbruch;Marder;Schaden behoben;Selbsteinsch;Blitzschlag;Hochwasser;Erdrutsch;uberspannung bei Gewitter;Fachauskunft
1;;;0;;;;0;;0;;;;1;;0;0;;;;;0
0;;;0;;;;0;;0;;;;;1;0;0;;;;;0
1;;;0;;;1;1;;0;;;;;;0;1;;;;;0
1;;;0;;;;0;;0;;1;;;;0;0;;;;;0
1;;;0;;;;0;1;0;;;;;;0;0;;;;;0
0;1;;0;;;;0;;0;;;;;;0;1;;;;;0
0;1;;0;;;;0;;0;;;;;;0;0;;;;;1
0;;;0;1;;;0;;0;;;;;;0;0;;;;;1
1;;;0;;;;0;1;1;;;;;;1;0;;;;;0
0;;;0;;;;1;;0;1;;;;;0;1;;;;;0
1;1;;0;;;;0;;0;;;;;;0;1;;;;;0
1;;;0;;;;0;;0;;1;;;;0;0;;;;;0
0;;;1;;1;;0;;0;;;;;;0;0;;;;;0
1;;1;0;;;;1;;0;;;;;;0;0;;;;;0
1;;;0;;;;0;;0;;;;;;0;0;;;;1;0
0;;;0;;;;0;;0;;;;;;0;0;;;;;0
1;;;0;1;;;0;;0;;;;;;0;0;;;;;0
1;;;0;;;;0;1;0;;;;;;0;0;;;;;0
1;1;;0;;;;1;;0;;;;;;0;0;;;;;0
1;;;1;;1;;1;;0;;;;;;0;1;;;;;0
0;1;;0;;;;1;;1;;;;;;1;0;;;;;0
1;;;0;;;;1;1;0;;;;;;0;0;;;;;0
1;;1;0;;;;1;;0;;;;;;0;1;;;;;0
1;;;0;;;;0;;1;;;;;;1;0;;;;;0
1;;;0;;;;0;;0;;;;;1;0;0;;;;;0
1;;;0;;;;0;;1;;;;;;0;0;;;;;0
1;;;0;;;1;0;;1;;;;;;1;0;;;;;0
1;;;0;;;;0;;0;;;;;1;0;1;;;;;0
1;;;0;;;;0;;1;;;;;;1;0;1;;;;0
1;1;;1;;;;0;;0;;;;;;0;1;;;;;0
0;;;1;;;;0;1;1;;;;;;1;0;;;;;0
1;;;0;;;;0;;1;;;;1;;1;0;;;;;0
1;;1;0;;;;1;;0;;;;;;0;0;;;;;0
1;;;0;;;;0;;0;;;;;;0;0;1;;;;0
